;yearmonth;code;hour;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month
0;200005;AM;1150;0.1086206896551724;1004.4920258620696;1009.4;1000.2;1362.2093023255811;26.237715517241394;23.54568965517241;32.4;22.2;26.1;21.4;88.76580796252928;82.95784543325527;85.92241379310344;-2126.8115942028985;5.058215962441317;0.9368534482758616;2000;5
1;200005;BA;1150;;;;;;;;;;;;;;;-9999.0;;;2000;5
2;200005;DF;1150;0.0;888.0524084778424;893.2;884.4;1590.9018867924528;20.25876685934489;11.7019267822736;28.9;11.8;17.0;2.7;63.48554913294798;57.05973025048169;60.23121387283237;-1215.9666666666667;4.277649325626204;2.073603082851637;2000;5
3;200005;RJ;1150;0.097594501718213;1013.9419243986248;1019.6;1006.6;1128.3809523809523;20.4020618556701;15.879037800687293;29.8;12.4;21.8;10.0;80.54295532646049;74.47422680412372;77.67697594501718;-5068.998333333333;4.377272727272728;1.9539518900343629;2000;5
4;200006;AM;1150;0.0666666666666666;1004.8872222222228;1009.1;1000.4;1541.997198879552;26.419861111111132;23.18541666666666;32.9;22.2;26.0;20.4;86.1073919107392;80.30125523012552;83.37777777777778;115.45138888888889;4.777513966480448;1.0288888888888894;2000;6
5;200006;BA;1150;;;;;;;;;;;;;;;-9999.0;;;2000;6
6;200006;DF;1150;0.0;889.2786532951294;893.5;886.0;1556.682857142857;19.364183381088807;9.880372492836672;27.7;11.4;14.4;-1.3;60.22153846153847;54.503076923076925;57.087392550143264;-194.07361111111112;4.806769230769228;2.4521489971346715;2000;6
7;200006;RJ;1150;0.0036111111111111;1014.6397222222226;1022.6;1006.6;1097.0972222222222;21.710000000000026;15.21833333333333;33.8;8.7;20.3;1.6;73.1361111111111;67.25138888888888;70.21944444444445;192.375;5.005923836389281;2.257500000000001;2000;6
8;200007;AM;1150;0.1442799461641992;1005.17604306864;1011.2;1000.2;1404.256064690027;25.8;22.40161507402424;33.5;20.2;25.3;16.7;85.3149394347241;79.55989232839839;82.4764468371467;159.247311827957;5.003499327052485;1.1162853297442823;2000;7
9;200007;BA;1150;;;;;;;;;;;;;;;-9999.0;;;2000;7
10;200007;DF;1150;0.000268817204301;888.613978494623;893.2;884.7;1491.048387096774;19.10228494623655;9.539919354838707;29.1;8.4;16.7;-5.0;59.96370967741935;54.48118279569893;57.20161290322581;133.36693548387098;5.316263440860211;2.700403225806452;2000;7
11;200007;RJ;1150;0.103494623655914;1015.3306451612906;1023.4;1005.7;948.9514824797844;19.630913978494625;14.334946236559146;33.3;8.6;19.8;0.6;76.8024193548387;71.5510752688172;74.25940860215054;178.76747311827958;5.026216216216211;2.3591397849462323;2000;7
12;200008;AM;1150;0.0790322580645161;1004.761559139785;1010.0;999.6;1689.43163538874;26.854973118279545;22.629973118279565;34.1;20.7;25.4;18.9;82.25940860215054;76.04435483870968;79.15591397849462;148.40860215053763;5.513709677419356;1.0637096774193562;2000;8
13;200008;BA;1150;;;;;;;;;;;;;;;-9999.0;;;2000;8
14;200008;DF;1150;0.0706989247311827;888.634408602151;892.6;881.2;1540.715425531915;21.476478494623635;8.532392473118279;32.6;12.9;16.4;-0.2;48.85598923283984;44.29744279946164;46.53763440860215;122.41801075268818;5.334547908232123;2.727150537634407;2000;8
